# x	y	u	v	flags	mask
1.5493e+03	7.4507e+04	3.1733e+01	9.4655e+00	0.0000e+00	0.0000e+00
2.5352e+03	7.4507e+04	8.5428e+01	3.8889e+00	0.0000e+00	0.0000e+00
3.5211e+03	7.4507e+04	0.0000e+00	-9.8956e-02	0.0000e+00	0.0000e+00
4.5070e+03	7.4507e+04	-1.4319e+02	3.4830e+00	0.0000e+00	0.0000e+00
5.4930e+03	7.4507e+04	-1.5047e+02	2.8485e+00	0.0000e+00	0.0000e+00
6.4789e+03	7.4507e+04	-7.6670e+01	5.0543e+00	1.0000e+00	0.0000e+00
7.4648e+03	7.4507e+04	-7.9205e+01	7.8707e+00	1.0000e+00	0.0000e+00
8.4507e+03	7.4507e+04	-5.5247e+01	1.1336e+01	1.0000e+00	0.0000e+00
9.4366e+03	7.4507e+04	8.7383e+01	-1.8001e+01	0.0000e+00	0.0000e+00
1.0423e+04	7.4507e+04	-1.8485e+01	-2.8046e+00	0.0000e+00	0.0000e+00
1.1408e+04	7.4507e+04	-2.6673e+01	-5.6291e+00	0.0000e+00	0.0000e+00
1.2394e+04	7.4507e+04	-1.6621e+01	-1.3415e+01	0.0000e+00	0.0000e+00
1.3380e+04	7.4507e+04	-3.5572e+01	1.3121e+01	0.0000e+00	0.0000e+00
1.4366e+04	7.4507e+04	1.3950e+02	1.8080e+02	0.0000e+00	0.0000e+00
1.5352e+04	7.4507e+04	0.0000e+00	1.7765e+02	0.0000e+00	0.0000e+00
1.6338e+04	7.4507e+04	-3.4636e+02	3.2089e+02	0.0000e+00	0.0000e+00
1.7324e+04	7.4507e+04	7.1871e+01	5.2094e+01	0.0000e+00	0.0000e+00
1.8310e+04	7.4507e+04	0.0000e+00	5.2908e+01	0.0000e+00	0.0000e+00
1.9296e+04	7.4507e+04	6.5351e+01	7.1527e+01	0.0000e+00	0.0000e+00
2.0282e+04	7.4507e+04	4.6952e+00	-1.0412e+01	0.0000e+00	0.0000e+00
2.1268e+04	7.4507e+04	-6.0677e+00	-3.0985e+01	0.0000e+00	0.0000e+00
2.2254e+04	7.4507e+04	1.0011e+01	-1.3822e+02	0.0000e+00	0.0000e+00
2.3239e+04	7.4507e+04	1.0807e+02	6.2052e+01	0.0000e+00	0.0000e+00
2.4225e+04	7.4507e+04	2.3143e+00	3.3583e+01	0.0000e+00	0.0000e+00
2.5211e+04	7.4507e+04	-4.8891e+01	-3.6881e+01	0.0000e+00	0.0000e+00
2.6197e+04	7.4507e+04	-5.2869e+01	-6.0051e+01	0.0000e+00	0.0000e+00
2.7183e+04	7.4507e+04	-5.8936e+01	9.9398e+00	0.0000e+00	0.0000e+00
2.8169e+04	7.4507e+04	-3.5499e+01	-1.4292e+01	0.0000e+00	0.0000e+00
2.9155e+04	7.4507e+04	2.0385e+01	-1.0480e+02	0.0000e+00	0.0000e+00
3.0141e+04	7.4507e+04	-2.2196e-02	-1.4103e+02	0.0000e+00	0.0000e+00
3.1127e+04	7.4507e+04	-1.3332e+02	-2.5284e+02	0.0000e+00	0.0000e+00
3.2113e+04	7.4507e+04	1.1980e+02	-1.7459e+02	0.0000e+00	0.0000e+00
3.3099e+04	7.4507e+04	2.4283e+02	-1.8126e+01	0.0000e+00	0.0000e+00
3.4085e+04	7.4507e+04	3.7924e+02	3.5944e+01	0.0000e+00	0.0000e+00
3.5070e+04	7.4507e+04	5.5872e+02	1.0017e+02	0.0000e+00	0.0000e+00
3.6056e+04	7.4507e+04	3.8840e+01	4.7105e+01	0.0000e+00	0.0000e+00
3.7042e+04	7.4507e+04	-1.9715e+02	-2.7749e+01	0.0000e+00	0.0000e+00
3.8028e+04	7.4507e+04	-7.2239e+02	5.6516e+01	0.0000e+00	0.0000e+00
3.9014e+04	7.4507e+04	-7.1319e+02	-3.8357e+02	0.0000e+00	0.0000e+00
4.0000e+04	7.4507e+04	-1.1710e+00	-5.2012e+02	0.0000e+00	0.0000e+00
4.0986e+04	7.4507e+04	-2.7079e+02	-3.8041e+02	0.0000e+00	0.0000e+00
4.1972e+04	7.4507e+04	6.1800e+01	1.5842e+01	0.0000e+00	0.0000e+00
4.2958e+04	7.4507e+04	1.9726e+00	1.0159e+02	0.0000e+00	0.0000e+00
4.3944e+04	7.4507e+04	9.5155e+01	3.8418e+01	0.0000e+00	0.0000e+00
4.4930e+04	7.4507e+04	1.4533e+01	-2.3116e+01	0.0000e+00	0.0000e+00
4.5915e+04	7.4507e+04	7.0601e+01	-8.1737e+01	1.0000e+00	0.0000e+00
4.6901e+04	7.4507e+04	-2.4207e+00	-3.9656e+02	0.0000e+00	0.0000e+00
4.7887e+04	7.4507e+04	-3.1859e+02	-4.0184e+02	0.0000e+00	0.0000e+00
4.8873e+04	7.4507e+04	3.0903e+02	-2.0580e+01	0.0000e+00	0.0000e+00
4.9859e+04	7.4507e+04	-2.6388e+02	-1.8759e+02	0.0000e+00	0.0000e+00
5.0845e+04	7.4507e+04	2.6521e+00	2.1483e+02	0.0000e+00	0.0000e+00
5.1831e+04	7.4507e+04	2.5996e+02	2.6461e+02	0.0000e+00	0.0000e+00
5.2817e+04	7.4507e+04	8.9804e+02	-1.0699e+02	0.0000e+00	0.0000e+00
